ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
437,simple,,Shaker Azul,1,0,visible,Shaker para esos batidos,"Shaker de policarbonato, con una bola trituradora de una aleacion de metal que te permite incorporar perfectamente tus ingredientes en polvo con el liquido de tu preferencia, recomendamos leches o agua.",,,taxable,,1,12,,0,0,25,8,8,12,1,,120,180,Otros,Otros,,,,,,,,,,,0
438,simple,,Shaker Rosa,1,0,visible,Shaker para esos batidos,"Shaker de policarbonato, con una bola trituradora de una aleacion de metal que te permite incorporar perfectamente tus ingredientes en polvo con el liquido de tu preferencia, recomendamos leches o agua.",,,taxable,,1,12,,0,0,25,8,8,12,1,,120,180,Otros,Otros,,,,,,,,,,,0
439,simple,,Camisa hombre blanca 1,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,106,96,75,1,,200,250,Otros,Otros,,,,,,,,,,,0
440,simple,,Camisa hombre negra 2,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,106,96,75,1,,200,250,Otros,Otros,,,,,,,,,,,0
441,simple,,Camisa hombre blanca 1,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,106,96,75,1,,200,250,Otros,Otros,,,,,,,,,,,0
442,simple,,Camisa hombre blanca 2,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,106,96,75,1,,200,250,Otros,Otros,,,,,,,,,,,0
443,simple,,Camisa mujer blanca 1,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,90,74,65,1,,200,250,Otros,Otros,,,,,,,,,,,0
444,simple,,Camisa mujer negra 2,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,90,74,65,1,,200,250,Otros,Otros,,,,,,,,,,,0
445,simple,,Camisa mujer blanca 1,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,90,74,65,1,,200,250,Otros,Otros,,,,,,,,,,,0
446,simple,,Camisa mujer blanca 2,1,0,visible,Camisa basica rhino,"Camisa basica rhino para salir a caminar, correr, tu deporte favorito o pasear. Hecha de una mezcla de bambu con algodon para darle un mayor comfort y evitar la guarda de malos olores, lo que la hace ideal para el deporte y la mantiene fresca en esos dias de calor",,,taxable,,1,12,,0,0,85,90,74,65,1,,200,250,Otros,Otros,,,,,,,,,,,0
